DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
28/08/2015,585.35,597.81,597.81,582.42,76084285
31/08/2015,596.58,586.23,596.58,586.23,57575427
1/9/2015,586.53,583.61,591.08,583.02,43397960
3/9/2015,581.3,575.58,581.89,572.64,36952720
4/9/2015,576.94,578.78,579.89,575.88,23533890
7/9/2015,577.17,574.09,580.47,573.25,30171233
8/9/2015,572.91,583.35,583.78,572.85,47957288
9/9/2015,585.24,587.69,589.74,585.24,31878200
10/9/2015,583.91,588.54,591.1,582.79,24364950
11/9/2015,588.89,583.27,590.04,582.8,36895690
14/09/2015,583.07,576,585.77,574.96,29095769
15/09/2015,574.39,571.53,574.93,570.59,27109430
16/09/2015,572.47,576.78,577.24,572.47,30145960
17/09/2015,577.52,576.68,580.29,576.68,22209630
18/09/2015,578.78,582.73,586.19,578.78,64225290
21/09/2015,583.37,590.46,590.46,582.81,31132790
22/09/2015,591.81,592.78,593.93,589.01,51927930
23/09/2015,590.58,591.23,593.13,588.24,30008230
24/09/2015,591.39,589.42,593.67,589.42,34469730
25/09/2015,588.91,588.11,591.12,584.87,29408900
28/09/2015,588.69,582.42,589.64,582.42,30483760
29/09/2015,577.85,578.98,579.66,575.06,33620640
30/09/2015,580.39,580.32,583.9,580.32,26497130
1/10/2015,581.67,582.33,584.43,581.2,21180840
2/10/2015,582.47,580.74,584.06,580.74,23615240
5/10/2015,582.94,588.73,588.73,582.16,30334902
6/10/2015,596.87,599.92,599.92,592.44,73704858
7/10/2015,602.12,598.42,605.22,598.36,60277129
8/10/2015,598.61,604.91,606.08,597.73,107633350
9/10/2015,609.08,605.6,611.15,605.6,74411260
12/10/2015,605.87,609.55,612.48,605.29,78250610
13/10/2015,608.06,607.03,608.94,605.38,51939585
14/10/2015,610.78,607.57,612.59,607.57,43559160
15/10/2015,609.72,607.95,610.87,606.71,40856190
16/10/2015,609.76,609.73,616.35,609.73,52760860
19/10/2015,610.96,611.37,615.13,608.01,39096260
20/10/2015,611.81,605.56,612.26,603.94,55339690
